id,title,website,opt_out_url,opt_out_guide_url,opt_out_guide_video_url,email,phone,address,description,country,type,privacy_score,average_removal_days,shows_family_names,optery_support_tier,is_expanded_reach
21014,Affinity Solutions,https://www.affinity.solutions/,https://affinitysolutions-privacy.my.onetrust.com/webform/a564cfa1-53bf-4c10-bf95-cd907432d7e8/7e4e6bf3-6562-454e-8c73-6a7bd1f4b336,,,privacy@affinitysolutions.com,,,,United States,Marketing,7,30,,Core,True
21388,Affordable Background Checks,http://affordablebackgroundchecks.com,https://infotracer.com/optout/,,,,,,,United States,People Search Site,4,7,Yes,Extended,False
20850,Aged Lead Store,https://www.agedleadstore.com,,,,optout@nextwavemarketingstrategies.com,,,,United States,B2B Lead Generation,0,0,,Core,True
19495,Alabama Arrests,https://www.alabamaarrests.org/,https://infotracer.com/optout/,,,privacy@infotracer.com,,,"Alabama Arrests is a criminal records and warrant search website.  Anyone can search for criminal and personal information about residents of Alabama using a first and last name, and the Alabama county where they live. The site accesses Alabama public records for general information on individuals - with or without a criminal record. Search results include the age, current and previous locations of the person, and names of possible relatives. A detailed criminal record report may include charges filed, arrest history, location of offender and release dates, and the arrest records and charges filed even if there was not a conviction, for a fee.",United States,People Search Site,4,7,Yes,Extended,False
21369,AlabamaCourtRecords.us,https://alabamacourtrecords.us/,https://alabamacourtrecords.us/optout/,,,privacy@courtrecords.us,,,,United States,People Search Site,7,4,Yes,Extended,False
21211,AlarmsCalifornia,http://www.alarmscalifornia.org/,http://www.alarmscalifornia.org/about,,,contact@licensedata.org,,,,United States,People Search Site,4,10,,Core,False
16821,Alaska Arrests,https://www.alaskaarrests.org/,https://infotracer.com/optout/,,,privacy@infotracer.com,,,,United States,People Search Site,4,7,Yes,Extended,False
21368,AlaskaCourtRecords.us,https://alaskacourtrecords.us/,https://alaskacourtrecords.us/optout/,,,privacy@courtrecords.us,,,,United States,People Search Site,7,4,Yes,Extended,False
20794,Alesco Data,https://alescodata.com/,,,,info@alescodata.com,,,,"Canada,United States",Marketing,0,0,,Core,True
19500,All Biz,https://www.allbiz.com/,https://www.allbiz.com/removal,https://www.optery.com/all-biz-how-to-opt-out-of-all-biz-step-by-step-instructions/,,webmaster@allbiz.com,,,"AllBiz.com provides access to 40 million business listings using their simple search. The listings can contain personal details like names, job titles, addresses, contact information, social media profiles, location map and photos. Detailed business descriptions may include number of employees, year founded, and revenue.",United States,Business Search,7,30,No,Extended,False
21440,AllPeople,https://allpeople.com/,,,,webmaster@allpeople.com,,,"AllPeople is the largest free directory of business contacts in the US. It allows users to look up information on working professionals such as name, email, professional position, address, phone number, company information, and more. The website sources and aggregates this information from government entities and other third-party sites.",United States,B2B Lead Generation,4,1,No,Extended,False
21010,Alliant,https://alliantinsight.com/,https://privacyportal-cdn.onetrust.com/dsarwebform/591ac1c1-3a1e-496f-9e43-ff4afb5fef85/2b52262e-8ada-4725-b86e-e4b960336f96.html,,,compliance@alliantdata.com,,,,United States,Marketing,7,30,,Core,True
21007,Alphonso,https://alphonso.tv/,https://choice.alphonso.tv/donotsell,,,compliance@lgads.tv,,,,United States,Marketing,7,30,,Core,True
21427,AmericaPhonebook,http://www.americaphonebook.com/,http://www.americaphonebook.com/contact.php,https://www.optery.com/americaphonebook-how-to-opt-out-of-americaphonebook-step-by-step-instructions/,,,,,"AmericaPhonebook is a data broker that provides the personal, private, contact information of over 90% of adults in the United States. Names, addresses and phone numbers are revealed with a simple search on the AmericaPhonebook site.",United States,People Search Site,0,0,No,Core,False
20759,American City Business Journals,https://www.acbj.com/,,,,PrivacyPolicyCoordinator@bizjournals.com,,,,United States,Marketing,0,0,,Core,True
20800,Amplemarket,https://www.amplemarket.com/,,,,privacy@amplemarket.com,,,,United States,B2B Lead Generation,0,0,,Core,True
16860,AnalyticsIQ,https://analytics-iq.com/,https://privacyportal.onetrust.com/webform/f6a59500-f900-4652-b030-0cd51afe15a5/87ca07e4-e06c-4ad8-9aa6-ccbbaa8750c1,https://www.optery.com/analyticsiq-how-to-opt-out-of-analyticsiq-step-by-step-instructions/,,privacy@analyticsiq.com,,,AnalyticsIQ is a company specializing in consumer data that has been researched using data science and cognitive psychology. Their methods and personal data are used by marketing companies and other businesses.,ALL,B2B Lead Generation,7,45,No,Core,False
21004,Andrews Wharton,https://www.andrewswharton.com/,https://www.andrewswharton.com/your-privacy-choices,,,privacy@andrewswharton.com,,,,United States,B2B Lead Generation,7,30,,Core,False
21005,Anteriad,https://anteriad.com/,https://info.anteriad.com/marketing-data-unsubscribe-page,,,privacy@anteriad.com,,,,"Belgium,Bulgaria,Croatia,Cyprus,Denmark,Estonia,Finland,France,Germany,Hungary,Ireland,Italy,Latvia,Luxembourg,Malta,Netherlands,Canada,Austria,Czech Republic,Greece,Lithuania,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom,United States",Marketing,7,30,No,Core,True
21232,AnyWho,https://www.anywho.com/,https://www.intelius.com/suppression-center/,,,,,,,United States,People Search Site,7,5,,Core,False
21147,Apollo,https://www.apollo.io/,https://www.apollo.io/privacy-policy/remove,https://www.optery.com/apollo-io-how-to-opt-out-of-apollo-io-step-by-step-instructions/,,privacy@apollo.io,,,"Apollo.io is a B2B data broker that sources new leads and verified emails from their database containing over 275 million contacts. Apollo.io uses a sales AI to provide high value leads and connect users with accurate buyer data. Optery offers Optery for Business, a great way for business owners who want to cover the removal of their employee’s personal information from the internet. Optery for Business uses advanced technology to locate information that benefits both business owners – to reduce risk of online phishing and hacking of sensitive information, and employees – for personal safety from identity theft that might be used to put the business at risk. Sign up now! If you are concerned about your personal or company online security, we have created step-by-step instructions on How to Opt Out of Apollo.io below.",ALL,B2B Lead Generation,6,30,No,Ultimate,False
20742,Appily,https://www.appily.com/,,,,privacy@eab.com,,,,United States,Marketing,0,0,,Core,True
18572,Areacode-Lookup,https://www.areacode-lookup.com/,https://www.areacode-lookup.com/optout,https://www.optery.com/areacode-lookup-how-to-opt-out-and-remove-yourself-from-areacode-lookup-step-by-step-instructions/,,,,,"Areacode-Lookup is a data broker that allows a user to search for any phone number in the United States and find out the name and location of the owner of the number, personal details about the owner, name of the phone carrier and a geolocation map. Users can also search popular US cities and view lists of phone numbers from those cities. Those searching for a phone number can leave a comment about that number or the owner that becomes available for public viewing.",United States,Phone Directory,8,30,No,Core,False
20756,Arity,https://arity.com/,,,,privacy@arity.com,,,,United States,Marketing,0,0,,Core,True
16843,Arizona Arrests,https://www.arizonaarrests.org/,https://infotracer.com/optout/,,,privacy@infotracer.com,,,,United States,People Search Site,4,7,Yes,Extended,False
21372,ArizonaCourtRecords.us,https://arizonacourtrecords.us/,https://arizonacourtrecords.us/optout/,,,privacy@courtrecords.us,,,,United States,People Search Site,7,4,Yes,Extended,False
16825,Arkansas Arrests,https://www.arkansasarrests.org/,https://infotracer.com/optout/,,,privacy@infotracer.com,,,,United States,People Search Site,4,7,Yes,Extended,False
21370,ArkansasCourtRecords.us,https://arkansascourtrecords.us/,https://arkansascourtrecords.us/optout/,,,privacy@courtrecords.us,,,,United States,People Search Site,7,4,Yes,Extended,False
21100,AroundDeal,https://www.arounddeal.com/,https://www.arounddeal.com/remove-profile,https://www.optery.com/arounddeal-how-to-opt-out-of-arounddeal-step-by-step-instructions-2/,,support@arounddeal.com,,,"AroundDeal is a global platform for sales and marketing automation. They have access to over 120 million contacts and company information in their database. This allows for high quality lead generation, go-to-market strategy optimization, and increased revenue. If you are concerned about your online privacy and the online privacy of the company you work for, consider opting out of AroundDeal and removing your personal information from their website.",ALL,B2B Lead Generation,5,45,No,Core,False
16852,ArrestWarrant.org,https://arrestwarrant.org/,https://ms.arrestwarrant.org/InfoPayOpt-OutNew.pdf,,,support@verifyrecords.com,,,,United States,People Search Site,4,7,Yes,Extended,False
20753,Aspire North,https://aspire-north.com/,,,,privacy@aspire-north.com,,,,United States,Marketing,0,0,,Core,True
18629,AtData,https://www.atdata.com/,https://instantdata.atdata.com/optout,https://www.optery.com/atdata-how-to-opt-out-of-atdata-step-by-step-instructions/,,privacy@atdata.com,,,"AtData, formerly known as TowerData, is a data company that provides marketers with information about consumers. According to their website, they claim to provide “an easy way to get the most accurate and current information about consumers.” AtData primarily collects data about your online activity. Some of the ways they collect data are through surveys, online forms, and cookies. They then sell this information to third-party advertisers who use it to create ads and marketing campaigns targeted at you. There are several reasons why you might want to opt out of AtData. First, you may not want your personal data to be collected and sold without your consent. Second, you may not want to receive targeted ads based on your personal data. Finally, you may simply want to protect your privacy. If any of these reasons resonate with you, then we recommend that you opt out of AtData. Optery helps you scan and remove your exposed private information from data broker sites. We cover more than 315 data broker sites where you can find your information exposed. You can sign up for a free Exposure Scan or upgrade to our paid subscription and let our opt-out Agents help you with the removals. Follow the steps below to manually opt out of AtData.",United States,People Search Site,8,45,,Core,False
21011,Attribits,https://www.attribits.com/,https://www.attribits.com/do-not-sell,,,compliance@allgoodmediagroup.com,,,,United States,Marketing,7,30,No,Core,True
21000,Audiencerate,https://www.audiencerate.com/,https://www.audiencerate.com/optout,,,privacy@audiencerate.com,,,,United States,Marketing,7,30,,Core,True
20995,BDO,https://www.bdo.com/,https://www.bdo.com/consumer-request-form,,,privacy@bdo.com,,,,United States,Marketing,7,30,,Core,True
21229,Background Check Run,https://backgroundcheck.run/,https://backgroundcheck.run/ng/control/privacy,https://www.optery.com/backgroundcheck-run-how-to-opt-out-of-backgroundcheck-run-step-by-step-instructions/,,customer-support@backgroundcheck.run,,,"BackgroundCheck.Run is a people search site that provides exactly what its name says - background checks. A background report will contain personal information like aliases, family member information, date of birth, residential and email addresses, social media profiles, property records, cell and home phone numbers, employment information and history, bankruptcies, liens, civil judgements, as well as conviction and criminal records. Anything available in public records can be revealed on the BackgroundCheck.Run website.",United States,People Search Site,6,5,Yes,Ultimate,False
21400,Background Checks.org,https://backgroundchecks.org/,,,,,,,"Background Checks.org is a data broker that provides comprehensive background checks to individuals and businesses utilizing proprietary search technology. With access to more than 5 billion records, Background Checks.org can locate information about people, places, criminal records and business assets. If you’re not interested in being found by people who use Background Checks.org, Optery can scan and remove your exposed private information from data broker websites like Background Checks.org and other 235+ people search sites. You can sign up for a free Exposure Scan or upgrade to our paid subscription and let our Opt out Agents help you with the removal.",United States,People Search Site,6,3,,Extended,False
21036,Background Hawk,https://backgroundhawk.com/,https://www.truthfinder.com/opt-out/v2/submit/,,,,,,,United States,People Search Site,4,14,,Ultimate,False
18624,BackgroundCheckers,https://www.backgroundcheckers.net/,https://www.backgroundcheckers.net/optOut/name/landing,https://www.optery.com/backgroundcheckers-how-to-opt-out-of-backgroundcheckers-step-by-step-instructions/,,support@backgroundcheckers.net,,,"BackgroundCheckers provides personal information reports on almost anyone in the USA. They scan over 12 billion public records from thousands of sources. Information reports can consist of background checks, criminal histories, address histories, names of relatives, marriage status, court and arrest records, social and dating profiles and contact information.",United States,People Search Site,7,45,Yes,Core,False
21397,BackgroundChecks.me,https://backgroundchecks.me/,,,,,,,,United States,People Search Site,6,3,,Extended,False
21108,Backgroundcheckme.org,https://www.backgroundcheckme.org/,,,,,,,,United States,People Search Site,6,3,,Ultimate,False
21447,BeenVerified,https://www.beenverified.com,https://www.beenverified.com/svc/optout/search/comprehensive_optouts,https://www.optery.com/beenverified-how-to-opt-out-and-remove-yourself-from-beenverified-step-by-step-instructions/,,privacy@beenverified.com,,,"BeenVerified is a data broker that has access to billions of public records. BeenVerified website visitors are able to perform searches on individuals using various methods and then obtain detailed personal information about that individual. Below are the search options available on the BeenVerified website: Name Search Vehicle Search Phone Number Search Address Search Vehicle Search If you are concerned about your personal information being displayed on data broker sites like BeenVerified, protect your personal information and opt out.",United States,People Search Site,7,1,Yes,Extended,False
20996,Belardi Wong,https://belardiwong.com/,https://privacyportal.onetrust.com/webform/3d2d5e0c-bd98-46b8-906c-ede68a6f6a80/400f54ed-fcbb-4749-ab5b-32f491c72390,,,privacy.officer@belardiwong.com,,,,United States,Marketing,7,30,,Core,True
22174,Best History Websites,https://besthistorysites.net/,https://besthistorysites.net/opt-out,,,support@besthistorysites.net,,,,United States,People Search Site,8,3,Yes,Extended,False
20988,Big Village,https://big-village.com/,https://big-village.com/do-not-sell-or-share-my-personal-information/,,,dpo_US@big-village.com,,,,United States,Marketing,7,30,No,Core,False
20748,Billtrust,https://www.billtrust.com/,,,,privacy@billtrust.com,,,,United States,Marketing,0,0,,Core,True
21080,Birdeye,https://birdeye.com/,https://birdeye.com/ccpa/,,,privacy@birdeye.com,,,,"Belgium,Bulgaria,Croatia,Cyprus,Denmark,Estonia,Finland,France,Germany,Hungary,Ireland,Italy,Latvia,Luxembourg,Malta,Netherlands,Austria,Czech Republic,Greece,Lithuania,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom,United States",Business Search,7,45,No,Core,False
19498,Bizarchive,https://www.bizarchive.com/,,https://www.optery.com/bizarchive-how-to-opt-out-of-bizarchive-step-by-step-instructions/,,webmaster@bizarchive.com,,,"Bizarchive is a US based business directory containing historical business records. It contains millions of listings for businesses, including those that have closed or have incomplete data. The records may include details like names, addresses, phone numbers, email addresses and website links.",United States,Business Search,7,30,No,Extended,False
20992,Blue Action,https://www.blueaction.io,https://request.blueaction.io/,,,privacy@blueaction.io,,,,United States,Marketing,7,30,,Core,True
20737,Brandwatch,https://www.brandwatch.com/,,,,privacy@brandwatch.com,,,,United States,Marketing,0,0,,Core,True
20749,BrightSwipe,https://brightswipe.com/,,,,support@brightswipe.com,,,,United States,Marketing,0,0,,Core,True
20987,BrooksIM,https://www.brooksim.com/,https://www.brooksim.com/privacy-form,,,privacy@brooksim.com,,,,United States,Marketing,7,30,,Core,False
22156,Buildertrend,https://buildertrend.com/,https://buildertrend.com/privacy-policy/,,,privacy@buildertrend.com,,,,"Australia,New Zealand,Canada,United Kingdom,United States",Marketing,7,30,No,Core,False
23879,Bumper,https://www.bumper.com,https://www.bumper.com/svc/optout/search/comprehensive_optouts,,,privacy@bumper.com,,,,United States,People Search Site,7,45,No,Extended,False
20734,Business Watch Network,https://www.businesswatchnetwork.com/,,,,support@bizwatchnetwork.com,,,,United States,Marketing,0,0,,Core,True
20746,Buyerlink,https://www.buyerlink.com/,,,,feedback@buyerlink.com,,,,United States,Marketing,0,0,,Core,True
20980,CITYDATA,https://citydata.ai/,https://citydata.ai/privacy/do_not_sell_personal_information/,,,privacy@citydata.ai,,,,United States,Marketing,7,30,,Core,True
21091,CLUBSET,https://clubset.com/,https://clubset.com/control/privacy,,,customer-support@clubset.com,,,,United States,People Search Site,4,7,Yes,Ultimate,False
20972,CML Medical,https://www.completemedicallists.com/,https://www.completemedicallists.com/ccpa.php,,,info@completemedicallists.com,,,,United States,Marketing,7,30,,Core,True
20743,Cadent,https://www.cadent.tv/,,,,privacy@cadent.tv,,,,United States,Marketing,0,0,,Core,True
21383,California Arrests,https://www.californiaarrests.org/,https://www.californiaarrests.org/ccpaOptOut/,,,,,,,United States,People Search Site,4,7,Yes,Extended,False
19501,California Criminal Records Search,https://www.californiacriminalrecords.org/,https://californiacriminalrecords.org/contact,,,,,,,United States,People Search Site,5,7,No,Extended,False
21208,CaliforniaBrokers.org,http://www.californiabrokers.org/,http://www.californiabrokers.org/about#contact,,,contact@licensedata.org,,,,United States,People Search Site,4,10,,Core,False
21371,CaliforniaCourtRecords.us,https://californiacourtrecords.us/,https://californiacourtrecords.us/optout/,,,privacy@courtrecords.us,,,,United States,People Search Site,7,4,Yes,Extended,False
21207,CaliforniaEngineering.org,http://californiaengineering.org/,http://www.californiaengineering.org/about#contact,,,contact@licensedata.org,,,,United States,People Search Site,4,10,,Core,False
21210,CaliforniaLicensing.org,http://californialicensing.org/,http://www.californialicensing.org/about#contact,,,contact@licensedata.org,,,,United States,People Search Site,4,10,,Core,False
21203,CaliforniaNursing.org,http://www.californianursing.org/,http://www.californianursing.org/about#contact,,,contact@licensedata.org,,,,United States,People Search Site,4,10,,Core,False
21202,CaliforniaPharmacists.org,http://www.californiapharmacists.org/,http://www.californiapharmacists.org/about#contact,,,contact@licensedata.org,,,,United States,People Search Site,4,10,,Core,False
21395,CallerSmart,https://www.callersmart.com/,https://www.callersmart.com/data,https://www.optery.com/callersmart-how-to-opt-out-of-callersmart-step-by-step-instructions/,,feedback@callersmart.com,,,"CallerSmart helps you identify mysterious calls and texts. With the increasing number of spamming incidents daily, your mobile devices are vulnerable to phishing and your information may be used in serious cybercrime. CallerSmart helps you review the legitimacy of the phone number and helps filter the phone number by giving a Trust Factor rating and feedback for other users’ reference. Using CallerSmart can be both an advantage and a disadvantage. If you are able to trace one’s phone number, then you are susceptible to the same personal information exposure and at risk for possible cybercrime and identity theft. To protect your privacy, you can file a complaint or manually opt out of your information from their website.",United States,Phone Directory,7,30,No,Extended,False
20986,CareerBuilder,https://www.careerbuilder.com/,https://edge.careerbuilder.com/optout,,,riskandcompliance@careerbuilder.com,,,,United States,Marketing,7,30,,Core,True
20745,Catalyze AI,https://www.catalyzeai.com/,,,,privacy@catalyzeai.com,,,,United States,B2B Lead Generation,0,0,,Core,True
21226,CellRevealer,https://www.cellrevealer.com/,https://cellrevealer.com/Unsubscribe,https://www.optery.com/cellrevealer-how-to-opt-out-of-cellrevealer-step-by-step-instructions/,,support@cellrevealer.com,,,"CellRevealer.com is a website that offers reverse phone lookup services in the United States and Canada. CellRevealer website users can enter a phone number or cell phone number and obtain information associated with the number like full name, age, current address with location map, previous addresses, previous phone numbers, email addresses, and the names of relatives and associates.",United States,People Search Site,6,1,Yes,Core,False
20983,Censia,https://www.censia.com,https://docs.google.com/forms/d/1VhF33VAQG4AmUqBWf7e3m8fw17h9ek64EtQXnuuBQcA/viewform,,,support@censia.com,,,,"Belgium,Bulgaria,Croatia,Cyprus,Denmark,Estonia,Finland,France,Germany,Hungary,Ireland,Italy,Latvia,Luxembourg,Malta,Netherlands,Austria,Czech Republic,Greece,Lithuania,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom,United States",Marketing,7,30,,Core,True
21186,Centeda,https://centeda.com/,https://centeda.com/control/privacy,,,ccpa@centeda.com,,,,United States,People Search Site,5,2,Yes,Ultimate,False
21186,Centeda,https://centeda.com/,https://centeda.com/control/privacy,,,ccpa@centeda.com,,,,United States,People Search Site,5,2,Yes,Ultimate,False
21180,CheckPeople,http://checkpeople.com/,https://checkpeople.com/opt-out,https://www.optery.com/checkpeople-how-to-opt-out-and-remove-yourself-from-checkpeople-step-by-step-instructions/,,support@checkpeople.com,,,"CheckPeople provides access to the personal information of just about anyone. With a name or phone number, CheckPeople’s search technology will retrieve information like online dating accounts, social media accounts, relatives, current and past addresses, traffic records, and contact information.",United States,People Search Site,4,10,Yes,Extended,False
18609,Checksecrets,https://www.checksecrets.com/,https://www.checksecrets.com/optOut/name/landing,https://www.optery.com/checksecrets-how-to-opt-out-of-checksecrets-step-by-step-instructions/,,support@checksecrets.com,,,"CheckSecrets.com is a people search site that displays personal information like full name, age, names of relatives, current and previous addresses, phone numbers, divorce and marriage records, education background, bankruptcies, criminal records, name of neighbors, and social media status. A simple search on a first and last name and state of residence could reveal information most individuals would consider private.",United States,People Search Site,3,4,Yes,Core,False
20982,Choreograph,https://www.choreograph.com/,https://amer-cpp.choreograph.com/manage-your-data/do-not-sell,,,privacy@choreograph.com,,,,United States,Marketing,7,30,,Core,True
20568,Cint,https://www.cint.com/,,,,privacy@Cint.com,,,,United States,Marketing,0,0,,Core,True
20979,Cision,https://www.cision.com/,,,,privacy@cision.com,,,,United States,Marketing,7,30,,Core,True
18627,City-Data.com,https://www.city-data.com/,https://www.city-data.com/delrequest/form.php,https://www.optery.com/city-data-com-how-to-opt-out-of-city-data-com-step-by-step-instructions/,,others@city-data.com,,,"According to its website, City-Data.com is a unique data broker that uses graphs and statistics in its search results. Their focus is more on real estate, thus they collect data from government and private sources to provide the latest property value trends as well as analytical city-based information for crime rates, environmental, and other concerns to consider in purchasing a property. City-Data.com includes information on home addresses and property owner names. Some of this information can be sensitive and put the person exposed at a higher of identity theft or abuse. Follow the steps below to remove yourself from City-data.com",United States,People Search Site,0,45,,Core,False
20981,Civis,https://www.civisanalytics.com/,https://docs.google.com/forms/d/e/1FAIpQLSfvUYww9wEK9Y4F6VY3nQtm0bBS8QTdcDthet6WAKDYqnnwHA/viewform,,,dataprotection@civisanalytics.com,,,,United States,Marketing,7,30,,Core,True
20978,Claritas,https://claritas.com/,https://privacyportal.onetrust.com/webform/68582716-6ce4-4f6e-bf08-78371b5f3292/6c7dc52d-0e2b-481f-9256-0755179e3783.html,,,privacyinfo@claritas.com,,,,United States,Marketing,7,30,,Core,True
17290,Classmates.com,https://www.classmates.com/,https://www.classmates.com/about/privacy#p-8,https://www.optery.com/classmates-com-how-to-opt-out-of-classmates-com/,https://www.youtube.com/watch?v=eyHG2gyWxFM,privacy@classmates.com,,,"Classmates.com is a social networking website allowing members to find high school classmates, view personal profiles, school yearbooks, as well as post messages and photos. There is always a risk that your personal data could be exposed when you use any online service. This is especially true for services that collect sensitive information like Classmates.com.",United States,People Search Site,7,5,No,Ultimate,False
21150,Clearbit,https://clearbit.com/,https://preferences.clearbit.com/privacy,https://www.optery.com/clearbit-how-to-opt-out-of-clearbit-step-by-step-instructions/,,privacy@clearbit.com,,,"Clearbit.com is a B2B lead company. Clearbit extracts public consumer data from the internet, LLMs and from their own proprietary data sources. Clearbit’s website stores and holds information such as cookie data, IP addresses, and other website signifiers. When customers utilize Clearbit’s software, consumer data that can be obtained can include names, transaction information, job titles, financial information, and customer service interactions.",ALL,B2B Lead Generation,6,30,No,Core,False
